#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 0.200 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 242  2.604720  3.7063  2.8406  1.8052  2.8750  0.8617  0.1498 -0.0443 -0.1278
 243  2.604898  3.7049  2.8121  1.8283  2.8481  0.8136  0.0948 -0.1026 -0.1877
 244  2.605270  3.7021  2.7555  1.8737  2.8012  0.7222 -0.0104 -0.2133 -0.3029
 245  2.605398  3.7006  2.7308  1.8936  2.7809  0.6827 -0.0564 -0.2618 -0.3535
 246  2.605567  3.6990  2.6999  1.9179  2.7568  0.6329 -0.1128 -0.3216 -0.4156
 247  2.605724  3.6980  2.6725  1.9398  2.7352  0.5888 -0.1634 -0.3749 -0.4712
 248  2.605946  3.6958  2.6328  1.9704  2.7090  0.5286 -0.2330 -0.4486 -0.5488
 249  2.606291  3.6919  2.5782  2.0130  2.6759  0.4458 -0.3298 -0.5518 -0.6576
 250  2.606443  3.6909  2.5511  2.0347  2.6590  0.4045 -0.3774 -0.6026 -0.7102
 251  2.606671  3.6889  2.5104  2.0667  2.6331  0.3422 -0.4498 -0.6797 -0.7918
 252  2.606871  3.6871  2.4754  2.0935  2.6137  0.2912 -0.5100 -0.7445 -0.8600
 253  2.607075  3.6852  2.4383  2.1227  2.5934  0.2358 -0.5757 -0.8144 -0.9335
 254  2.607247  3.6830  2.4038  2.1494  2.5731  0.1845 -0.6358 -0.8796 -1.0013
 255  2.607501  3.6803  2.3580  2.1853  2.5512  0.1181 -0.7153 -0.9645 -1.0905
 256  2.607646  3.6789  2.3286  2.2086  2.5369  0.0755 -0.7665 -1.0196 -1.1485
 257  2.607954  3.6762  2.2762  2.2492  2.5141  0.0012 -0.8560 -1.1157 -1.2500
 258  2.608157  3.6736  2.2383  2.2777  2.5011 -0.0493 -0.9183 -1.1839 -1.3224
 259  2.608306  3.6718  2.2053  2.3036  2.4903 -0.0954 -0.9745 -1.2443 -1.3865
