#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=10.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 203  1.049036  3.6749  3.0009  1.1110  5.3713  2.8812  2.0044  1.7376  1.6031
 204  1.049270  3.6737  2.9681  1.1393  5.3271  2.8203  1.9379  1.6685  1.5321
 205  1.049493  3.6725  2.9343  1.1683  5.2832  2.7586  1.8702  1.5979  1.4594
 206  1.049708  3.6714  2.8998  1.1978  5.2393  2.6960  1.8013  1.5260  1.3854
 207  1.049915  3.6700  2.8647  1.2277  5.1959  2.6329  1.7316  1.4532  1.3102
 208  1.050113  3.6686  2.8288  1.2582  5.1529  2.5693  1.6611  1.3795  1.2339
 209  1.050302  3.6672  2.7924  1.2891  5.1102  2.5050  1.5897  1.3046  1.1567
 210  1.050485  3.6657  2.7553  1.3203  5.0684  2.4407  1.5179  1.2292  1.0786
 211  1.050659  3.6642  2.7177  1.3517  5.0272  2.3759  1.4455  1.1531  0.9997
 212  1.050829  3.6626  2.6802  1.3832  4.9871  2.3116  1.3733  1.0771  0.9210
 213  1.050991  3.6610  2.6427  1.4145  4.9489  2.2484  1.3018  1.0017  0.8428
 214  1.051149  3.6594  2.6035  1.4470  4.9107  2.1835  1.2279  0.9236  0.7617
 215  1.051315  3.6575  2.5604  1.4828  4.8700  2.1128  1.1474  0.8379  0.6725
 216  1.051560  3.6560  2.5249  1.5125  4.8345  2.0534  1.0801  0.7667  0.5984
 217  1.051591  3.6562  2.5257  1.5120  4.8338  2.0539  1.0811  0.7678  0.5997
 218  1.051621  3.6563  2.5281  1.5102  4.8344  2.0569  1.0849  0.7720  0.6041
 219  1.051646  3.6565  2.5316  1.5075  4.8357  2.0614  1.0905  0.7782  0.6108
 220  1.051670  3.6567  2.5359  1.5042  4.8379  2.0673  1.0977  0.7861  0.6190
 221  1.051691  3.6570  2.5406  1.5005  4.8404  2.0739  1.1058  0.7948  0.6283
 222  1.051709  3.6573  2.5456  1.4966  4.8437  2.0813  1.1145  0.8043  0.6382
 223  1.051727  3.6575  2.5509  1.4923  4.8470  2.0890  1.1237  0.8142  0.6486
 224  1.051742  3.6578  2.5564  1.4880  4.8506  2.0970  1.1333  0.8244  0.6595
 225  1.051757  3.6581  2.5621  1.4835  4.8542  2.1053  1.1430  0.8351  0.6705
 226  1.051770  3.6584  2.5678  1.4789  4.8581  2.1139  1.1533  0.8461  0.6821
 227  1.052030  3.6596  2.5863  1.4653  4.8620  2.1362  1.1820  0.8780  0.7161
 228  1.052302  3.6560  2.5053  1.5320  4.7897  2.0052  1.0316  0.7180  0.5497
 229  1.052535  3.6524  2.4281  1.5947  4.7295  1.8860  0.8924  0.5691  0.3938
 230  1.052740  3.6487  2.3526  1.6558  4.6750  1.7721  0.7581  0.4245  0.2421
 231  1.052919  3.6451  2.2793  1.7148  4.6268  1.6644  0.6301  0.2857  0.0962
 232  1.053076  3.6414  2.2064  1.7732  4.5828  1.5597  0.5049  0.1492 -0.0479
 233  1.053213  3.6378  2.1361  1.8291  4.5445  1.4617  0.3864  0.0190 -0.1857
 234  1.053333  3.6342  2.0665  1.8842  4.5101  1.3673  0.2718 -0.1082 -0.3212
 235  1.053438  3.6306  1.9995  1.9372  4.4797  1.2782  0.1633 -0.2299 -0.4512
 236  1.053533  3.6269  1.9317  1.9900  4.4538  1.1922  0.0575 -0.3503 -0.5808
 237  1.053617  3.6232  1.8656  2.0414  4.4306  1.1107 -0.0427 -0.4661 -0.7066
 238  1.053691  3.6196  1.8010  2.0915  4.4088  1.0334 -0.1380 -0.5780 -0.8290
 239  1.053758  3.6159  1.7372  2.1407  4.3882  0.9597 -0.2288 -0.6867 -0.9491
 240  1.053818  3.6123  1.6745  2.1889  4.3684  0.8898 -0.3149 -0.7923 -1.0666
 241  1.053871  3.6087  1.6135  2.2358  4.3492  0.8240 -0.3954 -0.8936 -1.1809
 242  1.053920  3.6053  1.5534  2.2817  4.3305  0.7619 -0.4707 -0.9918 -1.2928
 243  1.053963  3.6018  1.4945  2.3268  4.3132  0.7041 -0.5398 -1.0865 -1.4025
 244  1.054002  3.5983  1.4368  2.3704  4.2995  0.6528 -0.6013 -1.1764 -1.5088
 245  1.054037  3.5948  1.3799  2.4135  4.2842  0.6047 -0.6586 -1.2639 -1.6133
 246  1.054069  3.5914  1.3240  2.4556  4.2666  0.5599 -0.7118 -1.3484 -1.7151
 247  1.054099  3.5880  1.2699  2.4963  4.2460  0.5185 -0.7615 -1.4293 -1.8130
 248  1.054125  3.5846  1.2164  2.5363  4.2251  0.4814 -0.8047 -1.5070 -1.9090
 249  1.054150  3.5813  1.1641  2.5754  4.2048  0.4487 -0.8405 -1.5813 -2.0027
