#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 9.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 173  1.066855  3.6938  3.6758  0.5189  6.4695  4.2134  3.4206  3.1943  3.0920
 174  1.067484  3.6929  3.6537  0.5375  6.4389  4.1737  3.3769  3.1488  3.0448
 175  1.068096  3.6921  3.6321  0.5562  6.4059  4.1328  3.3326  3.1028  2.9976
 176  1.068695  3.6914  3.6109  0.5749  6.3704  4.0908  3.2878  3.0566  2.9502
 177  1.069285  3.6908  3.5900  0.5938  6.3333  4.0481  3.2427  3.0104  2.9029
 178  1.069866  3.6903  3.5693  0.6125  6.2955  4.0048  3.1973  2.9640  2.8557
 179  1.070442  3.6898  3.5489  0.6314  6.2572  3.9612  3.1519  2.9175  2.8084
 180  1.071011  3.6894  3.5287  0.6501  6.2180  3.9174  3.1063  2.8711  2.7613
 181  1.071572  3.6890  3.5086  0.6688  6.1787  3.8736  3.0609  2.8248  2.7143
 182  1.071970  3.6887  3.4941  0.6823  6.1506  3.8420  3.0283  2.7917  2.6806
 183  1.072368  3.6884  3.4795  0.6959  6.1219  3.8102  2.9953  2.7579  2.6464
 184  1.072767  3.6881  3.4647  0.7097  6.0927  3.7778  2.9618  2.7239  2.6119
 185  1.073167  3.6878  3.4498  0.7235  6.0633  3.7451  2.9279  2.6894  2.5769
 186  1.073567  3.6875  3.4344  0.7379  6.0335  3.7116  2.8931  2.6539  2.5409
 187  1.073966  3.6872  3.4185  0.7528  6.0020  3.6768  2.8570  2.6172  2.5036
 188  1.074363  3.6869  3.4020  0.7681  5.9699  3.6408  2.8198  2.5793  2.4651
 189  1.074756  3.6865  3.3845  0.7844  5.9357  3.6026  2.7801  2.5390  2.4242
 190  1.075143  3.6861  3.3657  0.8018  5.8999  3.5620  2.7379  2.4959  2.3805
 191  1.075526  3.6857  3.3459  0.8200  5.8627  3.5197  2.6937  2.4508  2.3347
 192  1.075902  3.6852  3.3247  0.8395  5.8235  3.4748  2.6469  2.4029  2.2859
 193  1.076266  3.6847  3.3018  0.8604  5.7826  3.4268  2.5964  2.3513  2.2334
 194  1.076627  3.6841  3.2783  0.8818  5.7402  3.3774  2.5446  2.2983  2.1795
 195  1.076978  3.6835  3.2532  0.9044  5.6968  3.3258  2.4902  2.2426  2.1227
 196  1.077322  3.6828  3.2273  0.9278  5.6524  3.2726  2.4341  2.1849  2.0639
